"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,5,136263634,1,11,16345532
2020,12,136267288,1,11,16345533
2020,5,136263698,12,1,16348873
2020,12,136267876,1,11,16348935
2020,12,136268842,1,11,16349033
2020,5,136268876,121.7,1,16345689
2020,8,136270008,5,9,16349063
2020,8,136247736,1,9,16347739
2020,5,136248758,2,1,16347889
2020,7,136252203,1,1,16344759
2020,5,136254746,1,11,16347979
2020,5,136253308,1,1,16348081
2020,12,136256703,0.8,1,16348229
2020,12,136254300,0.03,3,16345029
2020,5,136257290,13,1,16348307
2020,5,136259868,1,11,16345142
2020,5,136261011,1,11,16345272
2020,5,136265535,3,1,16348682
2020,5,136262661,68,1,16345431
2020,5,136266171,1,11,16348740
2020,15,136267395,1,11,16348879
2020,5,136263832,13,1,16345548
2020,5,136267660,1,9,16348908
2020,12,136268183,1,11,16348966
2020,5,136264511,1,11,16345642
2020,5,136274757,1,11,16349200
2020,5,136642900,20.4,1,16416887
2020,5,136643000,32.1,1,16416919
2020,5,136646257,4.6,1,16412087
2020,16,136643432,7.1,1,16417007
2020,1,136643448,1.1,1,16417009
2020,5,136646556,3.5,1,16412142
2020,16,136646685,56,9,16417049
2020,2,136203603,0.3,1,16336945
2020,5,136203647,1,3,16336966
2020,1,136203733,1,1,16339293
2020,8,136203742,2,9,16336977
2020,5,136204099,1,3,16337008
2020,13,136211042,6,9,16339336
2020,5,136204283,1,1,16337031
2020,12,136204343,1,11,16337048
2020,12,136204323,5,1,16337042
2020,5,136211434,6,1,16339392
2020,5,136211424,1,11,16337071
2020,5,136211589,8,1,16337094
2020,8,136214628,2,9,16339426
2020,5,136214651,1,1,16337103
2020,12,136214652,1,11,16337101
2020,12,136211743,4.7,1,16337135
2020,5,136214751,10,1,16337140
2020,16,136214784,15.5,9,16337150
2020,5,136211852,1.5,1,16339491
2020,12,136211863,3.2,1,16339494
2020,5,136212301,1,11,16339544
2020,5,136646132,1,1,16412061
2020,12,136643039,1.4,1,16416926
2020,5,136646327,1.5,1,16416954
2020,1,136646397,19,1,16416984
2020,1,136646170,3.6,1,16416904
2020,5,136643100,3.14,3,16416946
2020,12,136643116,2,9,16416951
2020,5,136646331,3.5,1,16416955
2020,16,136646416,6,9,16416987
2020,5,136643545,1.9,1,16417023
2020,12,136646590,1,1,16417025
2020,5,136646635,108,1,16412148
2020,12,136643669,4.2,1,16417041
2020,8,136215261,4,9,16337211
2020,2,136212402,1,9,16339562
2020,5,136212851,0.35,1,16337250
2020,17,136212897,,,16337257
2020,16,136215805,1,9,16337277
2020,4,136213282,1,9,16337302
2020,4,136216103,6.2,1,16337311
2020,5,136216120,1.7,1,16337315
2020,12,136216134,1,11,16339691
2020,12,136216346,1,11,16339714
2020,5,136214087,1,11,16339744
2020,1,136214204,1,1,16339762
2020,12,136214220,1.6,1,16339763
2020,8,136216974,2,9,16337398
2020,5,136214527,0.95,1,16339792
2020,16,136217294,1,9,16337441
2020,5,136220145,1,1,16339863
2020,2,136220144,1,1,16337460
2020,5,136220392,4,1,16339900
2020,12,136217713,1,11,16342490
2020,4,136220487,1,1,16339919
2020,12,136220596,1,11,16339942
2020,5,136217804,8,1,16339934
2020,5,136220736,1,1,16339959
2020,5,136217952,1,1,16339957
2020,12,136217996,1,1,16342520
2020,5,136220801,1.5,1,16342523
2020,4,136220882,4.2,1,16339979
2020,4,136220905,1,11,16342540
2020,5,136220983,1,11,16339998
2020,5,136218211,0.5,1,16342555
2020,16,136221168,1,11,16340024
2020,5,136221180,1,11,16340028
2020,5,136218399,24.9,1,16342592
2020,5,136218445,1,1,16342597
2020,5,136221345,3,1,16342601
2020,4,136221433,1.02,1,16342612
2020,5,136221531,1,11,16340084
2020,5,136221686,1,11,16340105
2020,4,136219016,0.6,1,16342660
2020,15,136219050,21.2,1,16340149
2020,1,136222197,1.1,1,16340177
2020,5,136219230,9,1,16342689
2020,5,136219324,8.2,1,16342701
2020,1,136222462,30.4,1,16342710
2020,5,136224637,1,11,16340261
2020,5,136223281,30.03,1,16340333
2020,12,136223287,0.32,1,16340330
2020,5,136223353,1,11,16340339
2020,5,136225095,1,11,16342823
2020,5,136223450,3.6,1,16340353
2020,5,136225214,1,11,16342835
2020,5,136223550,1,9,16340369
2020,5,136225330,30,1,16340386
2020,5,136225598,1,1,16340439
2020,5,136224237,12,1,16340480
