"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2020,136249603,13,2000,,153020133
2020,136249650,27,251,17-JUN-20,153020199
2020,136246301,27,251,,153020200
2020,136249744,63,100,,153020310
2020,136249751,3,1500,,153020325
2020,136249761,20,200,,153020337
2020,136249789,8,47,,153020364
2020,136249787,8,47,09-JUN-20,153020363
2020,136267432,63,3,,153047796
2020,136248397,20,50,,153027256
2020,136248511,25,30,,153022309
2020,136248526,38,100,,153027426
2020,136248536,63,1,,153027442
2020,136248572,3,4000,,153027479
2020,136251705,3,1,24-AUG-20,153032453
2020,136251715,3,1,,153032474
2020,136246470,11,1,,153024934
2020,136246509,38,100,,153024984
2020,136249865,63,32,,153020449
2020,136246923,67,1,,153025461
2020,136246922,38,20000,,153020788
2020,136268324,19,254,,153046692
2020,136268322,19,123,11-APR-20,153046691
2020,136247021,3,20000,,153025583
2020,136247020,63,2,,153020884
2020,136250252,25,1,,153020894
2020,136250252,20,500,,153020893
2020,136250283,31,1350,,153020926
2020,136247063,20,30,,153020928
2020,136267585,10,,,153047995
2020,136269755,63,168,,153047034
2020,136247084,63,400,,153025659
2020,136269816,63,35,,153047094
2020,136268815,10,,,153049406
2020,136268815,11,1,,153049407
2020,136250412,8,3,,153025828
2020,136269883,17,200,,153047180
2020,136268939,63,1,,153047225
2020,136268939,9,0,,153047224
2020,136268939,25,10,,153049546
2020,136269943,67,1,,153047248
2020,136247225,44,4,22-JUL-20,153025823
2020,136250412,63,9,,153025830
2020,136247225,63,9,22-JUL-20,153025824
2020,136250412,6,6,,153025825
2020,136252326,13,539,,153033300
2020,136252326,63,35,,153033301
2020,136249505,63,300,,153028602
2020,136250412,44,4,,153025829
2020,136267605,19,66,,153048012
2020,136264030,10,1,,153048141
2020,136247225,8,3,22-JUL-20,153025822
2020,136247225,6,6,22-JUL-20,153025819
2020,136247311,20,5,,153025931
2020,136255429,63,1,,153029698
2020,136253101,21,1,,153034153
2020,136255395,21,1,,153034178
2020,136250639,13,1,,153021358
2020,136253252,20,40,,153034301
2020,136264101,10,,,153048249
