"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2020,136247342,134965872,7,,
2020,124946144,122517977,6,,
2020,124937311,122509420,6,,
2020,124941554,122509424,6,,
2020,124941555,122513452,7,,
2020,124937314,122509428,4,,
2020,124937317,122509429,4,,
2020,124937321,122509430,5,,
2020,124941560,122509430,4,,
2020,124937322,122509430,7,,
2020,124937323,122509431,7,,
2020,136247389,134969544,7,1,
2020,136250572,134965929,6,,
2020,124941568,122513463,6,,
2020,124937328,122509438,6,,
2020,124937329,122509440,1,,
2020,124937330,122509441,6,,
2020,136250594,134965943,6,,
2020,124937333,122509443,4,,
2020,124937334,122509443,7,,
2020,124937336,122509447,4,,
2020,124941581,122513478,7,,
2020,124937337,122513478,5,,
2020,124937339,122509448,7,,
2020,124937341,122509452,7,,
2020,124937340,122509452,5,,
2020,124937345,122513492,7,,
2020,124937346,122509456,6,,
2020,124937348,122509458,7,,
2020,124937347,122509458,5,,
2020,124937349,122509459,7,,
2020,124937350,122509461,6,,
2020,124937351,122509462,6,,
2020,124937352,122509464,6,,
2020,124937353,122509465,4,,
2020,124937354,122509466,7,,
2020,124941586,122513497,4,,
2020,124941587,122509467,7,,
2020,124937355,122509468,6,,
2020,124937356,122509469,6,,
2020,124941591,122509470,4,,
2020,136250621,134965979,4,,
2020,124941594,122513505,7,,
2020,124937358,122509472,7,,
2020,124937359,122509473,4,,
2020,124937360,122509473,7,,
2020,124937361,122509474,1,,
2020,124937362,122509475,7,,
2020,124937363,122509476,7,,
2020,124937364,122509477,7,,
2020,124937365,122509479,7,,
2020,124937366,122509480,4,,
2020,124937367,122509481,5,,
2020,124937368,122509481,7,,
2020,136247458,134965984,6,,
2020,136247469,134969621,7,,
2020,124937369,122509482,4,,
2020,124941604,122509482,1,,
2020,124941608,122509484,7,,
2020,124937371,122509485,7,,
2020,124937372,122509486,1,,
